title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Location appartement 4 pièces - Riviera 3,1 300 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",190 m2 m2,Appartements,4,4,2024-06-21 15:52:18,Massa Immobilier,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-riviera-3-4663979,"A louer, riviera 3  un appart moderne de 4 pièces dans une résidence propre et sécurisée disponible au 1er étage   descriptif :  1 séjour spacieux et lumineux avec salle à manger  3 grandes chambres autonomes 1 cuisine moderne avec buanderie et balcon 1 salle d’eau visiteur balcons splits et chauffe-eau installés  sécurité h24 parking sous-terrain   loyer : 1.3 millions   visite sur rdv   massa immobilier"
Location appartement 5 pièces - Golf4 Beverly Hills,2 500 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",200 m2 m2,Appartements,5,5,2024-06-21 15:52:26,Massa Immobilier,https://ci.coinafrique.com/annonce/appartements/location-appartement-5-pieces-golf4-beverly-hills-4663122,"Location  apprts luxueux  riviera golf4   à louer à la riviera golf 4 beverly hills,  un appartement 4 pièces avec une dépendance.   3 chambres autonomes,  une dépendance, un grand séjour,  cuisine équipée,  ascenseur,  piscine,  2 places de parking...  loyer: 2,5 millions   visite sur rdv   massa immobilier"
Location appartement 4 pièces - Riviera 3,1 300 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,4,,2024-06-21 15:52:35,Ben,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-riviera-3-4664057,"Riviera 3 appart moderne de 4 pièces disponible pour location à cocody riviera 3 au 1er étage d'un bel immeuble sécurisé.  séjour spacieux et lumineux avec salle à manger, 3 grandes chambres autonomes, cuisine moderne avec balcon, buanderie, salle d’eau visiteurs...  * balcons, * split, * chauffe-eau, * sécurité h24, * parking interne..."
Location appartement  4 pièces - Riviera Golf 4,1 600 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,4,,2024-06-21 15:52:43,Ben,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-riviera-golf-4-4664051,"Riviera 4  mise en location d'un superbe appartement de standing (4 pièces) à la riviera 4 disponible au 2ème étage d'un immeuble propre et calme dans une zone résidentielle et facilement accessible.  3 chambres autonomes, un grand salon/salle à manger, une magnifique cuisine avec meubles de rangement, une salle d'eau visiteurs, de grands placards, une buanderie, de grandes baies vitrées, une climatisation intégrale...  commodités bâtiment :  ascenseur, piscine, groupe électrogène, salle de sport, sécurité renforcée (vidéosurveillance, clôture électronique...) parking interne et externe...  ps : visite possible sur rdv"
Location appartement 3 pièces - 2 Plateau,350 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,3,2,2024-06-21 15:52:52,Sael Immo,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-2-plateau-4665517,"Location   appartements 03 pieces  au 02 plateaux duncan las palmas  dans une cité.  • 01 grand salon • 02 chambres • 01 cuisine • 02 salles d'eau • 02 balcons • accès facile  prix : 350 mille ,  loyer négociable"
Location appartements 3 pièces - Cocody Riviera,1 350 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,3,2,2024-06-21 15:53:00,Bassetiga Fofana,https://ci.coinafrique.com/annonce/appartements/location-appartements-3-pieces-cocody-riviera-4663897,Offre de location   cocody | riviera beach laguna - bay   appartement f3haut standing au 1er étage dans une concession sécurisée et paisible avec :  - 1 séjour en baie vitrée avec cuisine ouverte  - ⁠2 chambres autonomes  - toilette visiteurs  - ⁠1 terrasse   loyer mensuel : 1.350000 xof cfa  condition : 2 mois de caution + 2 mois d’avance + 1 mois d’honoraires.
Location appartement 3 pièces - Cocody,500 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",200 m2,Appartements,3,3,2024-06-21 15:53:08,Mr kapelo,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cocody-4712338,2 chambres salon à cocody riviera palmeraie
Location appartement 4 pièces - Angré 8 ème tranche,450 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,4,,2024-06-21 15:53:17,Ben,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-angre-8-eme-tranche-4663700,"Location  appartement - cocody angré 8 ème tranche   4 pièces : 3 chambres - 1 salon   un appartement neuf  avec un ascenseur.   caractéristiques: - 1 sejour  - 3 chambres  - 2 salles d’eau  - 1 cuisine équipée  au 2ème étage.  il y,a un ascenseur dans l,immeuble.  loyer mensuel: 450 000 fcfa pour bureau loyer mensuel :500.000 francs.  2 mois de caution  2 mois d’avance  1 mois d’agence. nb:l,immeuble est sit droit visite :5000 francs."
Location appartements 3 pièces - Cocody Riviera beach,1 350 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,3,2,2024-06-21 15:53:25,Bassetiga Fofana,https://ci.coinafrique.com/annonce/appartements/location-appartements-3-pieces-cocody-riviera-beach-4663361,Offre de location   cocody | riviera beach laguna - bay   appartement f3haut standing au 1er étage dans une concession sécurisée et paisible avec :  - 1 séjour en baie vitrée avec cuisine ouverte  - ⁠2 chambres autonomes  - toilette visiteurs  - ⁠1 terrasse   loyer mensuel : 1.350000 xof cfa  condition : 2 mois de caution + 2 mois d’avance + 1 mois d’honoraires.
Location studio - Cocody,1 100 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,2,2,2024-06-21 15:53:34,Bassetiga Fofana,https://ci.coinafrique.com/annonce/appartements/location-studio-cocody-4663356,Offre de location   cocody | riviera beach laguna - bay   appartement f2 haut standing au rez-de-chaussée avec :  - 1 séjour en baie vitrée avec cuisine ouverte + buanderie  - ⁠1 chambre autonome  - ⁠1 petit jardin   loyer mensuel : 1.150.000 xof cfa  condition : 2 mois de caution + 2 mois d’avance + 1 mois d’honoraires.  -
