title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Location appartement 4 pièces - Songon Diapote,180 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",300 m2 m2,Appartements,4,3,2024-08-26 09:34:08,Fabrice Djé Bi,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-songon-diapote-4175948,"A louer à songon diapoto juste après la nouvelle mairie de songon en bordure de la grande voie une belle 4 pieces loyer 180mil au 1er étage avec :3dwc,2 balcons, très grand salon, grande cuisine, staffée, tu vois tu prends. conditions :180x5mois plus 30mil frais de dossier visite:5000"
Location appartement 4 pièces - Yopougon,200 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",,Appartements,,,2024-08-26 09:34:17,Fabrice Djé Bi,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-yopougon-4171656,Maison à louer à yopougon kilomètre et songon  institut pasteur 4 pièces 200.000 visiter 5000
Location appartement 3 pièces - Yopougon,130 000 CFA,"Abidjan, Côte d'Ivoire",160 m2 m2,Appartements,3,2,2024-08-26 09:34:28,Mahan Sebastien,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-yopougon-4049713,"A louer un appartement de 3pièces au 2eme étage avec 2dwc,  placard, staffée,  2 grands balcons,  grand salon,  grande cuisine, grande chambre. vide et prête habiter prix: 130.000fcfa caution: 5mois lieu: yopougon songon  carrefour institut pasteur.  ⏯️n.b: vidéo de la maison disponible"
Location appartement 3 pièces - Yopougon,130 000 CFA,"Abidjan, Côte d'Ivoire",120 m2 m2,Appartements,3,2,2024-08-26 09:34:37,Mahan Sebastien,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-yopougon-4037755,"A louer un appartement de 3pièces au 2eme étage avec 2dwc,  placard, staffée,  2 grands balcons,  grand salon,  grande cuisine, grande chambre. vide et prête habiter prix: 130.000fcfa caution: 5mois lieu: yopougon songon  carrefour institut pasteur.  n.b: vidéo de la maison disponible"
Location appartement 2 pièces à Songon,80 000 CFA,"Abidjan, Côte d'Ivoire",,Appartements,2,1,2024-08-26 09:34:47,SADA,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-a-songon-3939294,"Sada met en location des appartements situés à songon. nous disposons des : - 2 pièces (chambres, salon avec balcon ) : 80.000 - studios avec balcon : 60.000fr  nb: nouvelle construction"
Location appartement 4 pièces - Songon bimbresso,250 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",150 m2 m2,Appartements,4,4,2024-08-26 09:34:56,Arquin Romaric,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-songon-bimbresso-3913190,Songon bimbresso cité ivoire un appt de 4pcs a louer avec tte les chambres autonome garage nvlle maison
Location appartement 3 pièces - Songon,210 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",100 m2 m2,Appartements,3,3,2024-08-26 09:35:05,Arquin Romaric,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-songon-3832530,"3pcs haut standing avec parking interne virgil dans un cadre agréable et calme, nouvel construction songon institut pasteur pas loin de la route et de l'autoroute"
Location appartement 2 pièces - cité Idi,100 000 CFA,"Songon, Côte d'Ivoire",70 m2 m2,Appartements,2,1,2024-08-26 09:35:15,Romain Abaka,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-cite-idi-3739967,Magnifique appartement 2 pièces très grand avec cour avant et arrière dans la cité idi carrefour bimbresso (route de songon). tu vois tu prends
Location studio - Songon Bimbresso,30 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",7 m2 m2,Appartements,2,1,2024-08-26 09:35:25,India,https://ci.coinafrique.com/annonce/appartements/location-studio-songon-bimbresso-3606193,Studio Cuisine Et Douche à Songon Bimbresso Non Loin Shekina Beau studio à louer ds 1 quartier paisible
Location Appartement  4 pièces - Riviera Palmaraie,270 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,4,,2024-08-26 09:35:36,Ben,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-riviera-palmaraie-3565931,"En location à la Riviera Palmeraie un bel appartement de type 4 pièces au rez de chaussé en mezzanine: - 01 grand séjour avec salle à manger - 03 chambres autonomes & placardées - 01 toilettes visiteurs   Vous recherchez un terrain, une villa, un appartement pour achat ou location plein temps ou saisonnière (en côte d'ivoire) à abidjan, bingerville, songon, grand-bassam, as"
Location appartement 4 pièces - Songon,32 000 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",220 m2 m2,Appartements,4,4,2024-08-26 09:35:46,koffi mansianou kouakou,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-songon-1857403,Une promotion immobilière jamais vu en côte d'ivoire.  ivimmo vous transforme vos rêves en réalité.  paiement possible par modalités sur 5 ans. avoirson propre toit est le plus important de tout ses rêves.
Location/vente appartement & villa - Riviera et songon,17 900 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",200 m2,Appartements,4,2,2024-08-26 09:35:56,key david,https://ci.coinafrique.com/annonce/appartements/location-vente-appartement-et-villa-riviera-et-songon-1352343,Promo en cours jusqu'au 31 décembre 2019 Projet immobilier en location-vente de villas basses à songon et Appartements à la riviera Conditions d'adhésion - frais de dossiers : 300.000 f cfa - apport initial : 3.000.000 f cfa - visite de sites exigée avant le paiement des frais de dossiers Logement immédiat payable sur 7 ans Appartement de 3 pièces et 4 pièces à la cocody riviera faya cité sir 1&2
