title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Location appartement 3 pièces - Grand Bassam,250 000 CFA,"Koumassi, Abidjan, Côte d'Ivoire",200 m2 m2,Appartements,3,3,2024-08-26 09:30:51,Magnificat Immobilier,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-grand-bassam-4427301,En location appartement composé de :   un salon et d une salle à manger  cuisine africaine 2 chambres autonomes   toilettes visiteur  parking interne   au grand bassam
Location appartement 3 pièces - Koumassi,275 000 CFA,"Koumassi, Abidjan, Côte d'Ivoire",,Appartements,3,3,2024-08-26 09:31:01,Imrann P Immobilier,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-koumassi-4418720,Imrannp  vous propose un nouveau bâtiments r4 en finition de 3 pièces haut standing du rez-de-chaussée jusqu'au 4em étage avec 3douche 1wc 1 grande cuisine 1placard 1balcon 1 parking interne propre très belle vue lagunaire et sécurisé   275000^5m0is
Location appartement 2 pièces - Koumassi Soweto,100 000 CFA,"Koumassi, Abidjan, Côte d'Ivoire",4 m2 m2,Appartements,2,1,2024-08-26 09:31:14,Gome Tia Evrard,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-koumassi-soweto-4443670,Nous mettons en location  des beaux appartements de 2 pièces situé à koumassi soweto baulem beach hôtel au 4e étage avec balcon placard cuisine dwc
Location  appartement 2 pièces - Koumassi remblais,160 000 CFA,"Koumassi, Abidjan, Côte d'Ivoire",100 m2 m2,Appartements,2,1,2024-08-26 09:31:23,Magnificat Immobilier,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-koumassi-remblais-4391440,Appartement composé d  un salon une salle à manger  un grand  avec balcon  Grande cuisine en renovation  Koumassi remblais
Location appartement 3 pièces - Koumassi Remblais,200 000 CFA,"Koumassi, Abidjan, Côte d'Ivoire",60 m2 m2,Appartements,3,3,2024-08-26 09:31:35,Franck Kouassi,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-koumassi-remblais-4418043,A louer appartement 3 pieces koumassi remblais : - grand balcon dégagé  - 3 salles d'eau  - placard  - cuisine  - parking sécurisé
Location appartement 03 pièces - Carrefour de Koumassi,700 000 CFA,"Marcory, Abidjan, Côte d'Ivoire",,Appartements,3,2,2024-08-26 09:31:46,Samuel Yannick Irié,https://ci.coinafrique.com/annonce/appartements/location-appartement-03-pieces-carrefour-de-koumassi-4412301,Appartement 3 pièces haut standing avec ascenseur   très facile d'accès    jardin ( pour l'immeuble)   espace de jeux pour enfants amenager ( pour l'immeuble)   parking intérieur  concierge  sécurisé  camera de surveillance de point  chauffe eau  placard  700.000 fr  x 5    prévoir frais de visite  samuel  immobilier
Location studio - Koumassi,110 000 CFA,"Koumassi, Abidjan, Côte d'Ivoire",15 m2,Appartements,1,1,2024-08-26 09:31:56,ANTHONY CORPORATES,https://ci.coinafrique.com/annonce/appartements/location-studio-koumassi-4386723,"Location à koumassi carrefour concordia. en bordure de voie , un immeuble avec des studios du 1er- au 2ème étage avec balcon donnant sur la voie. disponible à la fin de ce mois ,après installation du compteur d'eau et d'électricité.  à louer au prix de 110.000fcfa. avec les conditions d'accès de 02mois de caution et 02- d'avances.+1 mois de commission.  commodités environnementales ~ pharmacies ( fanny-ste foie- st joseph) ~hôpital des sœurs , hôpital de 05 ( différentes cliniques à proximité) ~supermarchés ~complexe sportif à 300 mètre  ~ église (catholique , évangélique, cma,) ~ mosquée. ~ établissement scolaire (privée et public)."
Location studio - Koimassi,50 000 CFA,"Koumassi, Abidjan, Côte d'Ivoire",100 m2 m2,Appartements,1,1,2024-08-26 09:32:05,Jean jacques Guelable,https://ci.coinafrique.com/annonce/appartements/location-studio-koimassi-4353235,Studio à louer à koumassi non loin de la cie côté sicogi maison basse. ch  dch wc cuisine.
Location appartement 3 pièces - Yopougon,40 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",80 m2,Appartements,3,2,2024-08-26 09:32:15,DIABATE,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-yopougon-4334601,Résidence meublée sis yopougon ananerais à 150m  de la sodeci. confort répondant à vos attente. les 3pieces sont composée de 2 chambres climatisée 2 douches avec eau chaude intégrée un grand salon une cuisine bien équipée une grande terrasse. tv plasma 43 pouces canal wifi. nous disposons aussi de studio bien équipée en format chambre salon. petit salon une chambre 02 douche eau chaude intégrée tv canal wifi. prix: 3pieces: 40000f/jour et studio: 20000f/ jour nous faisons une réduction pour les long séjours. nb: nous avons aussi des partenaires des secteurs suivant: angre-marcory-koumassi-cocody
Location appartements 4 pièces - Koumassi,220 000 CFA,"Koumassi, Abidjan, Côte d'Ivoire",70 m2,Appartements,4,2,2024-08-26 09:32:23,JEAN-MARC NGUESSAN,https://ci.coinafrique.com/annonce/appartements/location-appartements-4-pieces-koumassi-4327087,"La sicogere (société ivoirienne de copropriété et de gérance), société immobilière agréée loue un appartement de 3 chambres- 2 douches- 1 salon- 1 cuisine, situé à koumassi addoha non loin du  terminus  32 - aklomiabla  pour plus ample information contactez nous par whatsapp"
