title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Location appartement 2 et 3 pièces - Cocody,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,,,2024-06-21 14:36:01,Jean Marc Nessemon,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-et-3-pieces-cocody-4742348,Location cocody route abbatta carrefour drogba en bordure de la voie principale   apparemment 3 pieces 350 000 fcfa et 400 000 fcfa  appartement de 2 pièces 200 000 fcfa et 250 000 fcfa  très bon standing  parking interne exellent pour bureau ou habitation
Location appartement 3 pièces - Cité Oribat,210 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",100 m2 m2,Appartements,3,3,2024-06-21 14:36:11,Jean Marc Nessemon,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cite-oribat-4757618,Mise en location : 03 pcs architecture moderne ( pièce moyenne ) . lieu : cité oribat / fhé khéssé   --- 02 chambres autonomes . --- 01 wc visiteur  --- 01 salon  --- 01 balcon  --- 01 baie vitrée   prix : 210.000f  conditions : 04 mois  étage : 3e étage   nb : zone accessible a la route et aux moyens de transports .
Location appartement 3 pièces - Riviera Faya Abatta,280 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",180 m2 m2,Appartements,3,3,2024-06-21 14:36:20,Jean Marc Nessemon,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-riviera-faya-abatta-4738879,"À louer, bel appartement bien spacieux au 2e et 3e étage avec toutes les chambres autonomes, un wc visiteurs, un balcon, de la baie vitrée, une buanderie, un parking intérieur, splits et chauffe eau déjà installés. à la riviera faya route abatta carrefour abcenter, très accessible.  loyer : 280.000 fcfa conditions : 5 mois"
Location  appartements 3 pièces - Cocody 2 Plateaux,1 500 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",90 m2 m2,Appartements,3,3,2024-06-21 14:36:30,Diarrassouba Vakantie,https://ci.coinafrique.com/annonce/appartements/location-appartements-3-pieces-cocody-2-plateaux-4707795,Loue: cocody 2 plateaux vallon  de neufs appartements de standing 3 pieces. grand sejour. toutes chambres autonomes. toilette visiteurs. parking interne et externe. cuisine semi équipé. splits & chauffe eaux. pieces spacieuses. toutes commodités.  prix du loyer: 3 pieces: 1.500.000fcfa  conditions: 2.2.1
Location appartements 3 pièces - Cocody 2 Plateaux,15 000 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",90 m2 m2,Appartements,3,3,2024-06-21 14:36:39,Diarrassouba Vakantie,https://ci.coinafrique.com/annonce/appartements/location-appartements-3-pieces-cocody-2-plateaux-4707786,Loue: cocody 2 plateaux vallon non loin de rue des jardins  de neufs appartements de standing. 3 pieces. grand sejour. toutes chambres autonomes. toilette visiteurs. parking interne et externe. cuisine semi équipé. splits & chauffe eaux. pieces spacieuses. toutes commodités.  prix du loyer: 3 pieces: 1.500.000fcfa  conditions: 2.2.1
Location studio - Cocody 2 Plateaux 7eme tranche,120 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",50 m2,Appartements,1,1,2024-06-21 14:36:47,Immobilier d'ici,https://ci.coinafrique.com/annonce/appartements/location-studio-cocody-2-plateaux-7eme-tranche-4707587,En location*   ☑️```un studio spacieux a louer a cocody 2 plateau 7ème tranche. composé de: -01chambre autonome -01 cuisine moderne -02 balcon -parking interne ☑️loyer:120.000f visite possible sur rendez-vous```
Location villa 3 pièces - Bingerville,180 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",150 m2 m2,Appartements,3,3,2024-06-21 14:36:57,Jean Marc Nessemon,https://ci.coinafrique.com/annonce/appartements/location-villa-3-pieces-bingerville-4737301,A louer a bingerville après hôpital mère enfant.3 pièces 180000f avec. parkings intérieur balcon très accessible .  réf ken
Location appartement 3 pièces - Angré 8eme tranche,350 000 CFA,"Abidjan, Côte d'Ivoire",200 m2 m2,Appartements,3,3,2024-06-21 14:37:06,homan kobenan,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-angre-8eme-tranche-4715401,Appartement  de 03 pièces ( salon en bas et les 02 chambres en haut avec les sports et chauffe eau) à angré star 12 en face de la cnps et du centre commercial djibi
Location appartement 3 pièces - Cocody Palmeraie,40 000 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",200 m2 m2,Appartements,3,3,2024-06-21 14:37:17,Jean Marc Nessemon,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cocody-palmeraie-4714373,Opportunité opportunité  exceptionnelle à ne pan  en  vente  appartements de type 3 pièces  situation  géographique : à cocody palmeraie  derrière saint viateur  très bien  situé : prix : 40 millions fcfa/// conditions : 38 % à la réservation  soit 14  millions fcfa/// et le rest par échelonnement  sur 1 an  maximum   document : acd et permis de construire   délais de livraison : 8 mois     prestation de visite 5mille   réf bona
Location appartement 3 pièces - Riviera Faya,300 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",180 m2 m2,Appartements,3,3,2024-06-21 14:37:25,Jean Marc Nessemon,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-riviera-faya-4737194,"À louer, appartements 3 pièces bon standing bien spacieux au 2e et 3e étage avec toutes les chambres autonomes, un wc visiteurs, un balcon, une buanderie, un parking intérieur. à la riviera faya ephrata derrière la cité génie 2000, nouvelle construction.   loyer mensuel : 300.000 fcfa conditions : 5 mois  réf bana"
